timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,1w_close_time,1w_open_time,1w_open,1w_high,1w_low,1w_close,1w_quote_asset_volume,1w_number_of_trades,1w_taker_buy_base_asset_volume,1w_taker_buy_quote_asset_volume,1w_volume,1w_open_time_day,1w_open_time_month,1w_open_time_year,1w_open_time_hour,1w_open_time_minute,1w_close_time_day,1w_close_time_month,1w_close_time_year,1w_close_time_hour,1w_close_time_minute
2017-08-14,4261.48,4485.39,3850.0,4086.29,2843.431426,1503273599999,12021576.48265154,13134,2240.24924,9482742.92094674,0,2017-08-20 23:59:59,2017-08-14,4261.48,4485.39,3850.0,4086.29,12021576.48265154,13134,2240.24924,9482742.92094674,2843.431426,14,8,2017,0,0,20,8,2017,23,59
2017-08-21,4069.13,4453.91,3400.0,4310.01,4599.396629,1503878399999,18978983.50987317,37826,1755.530265,7173180.19744751,0,2017-08-27 23:59:59,2017-08-21,4069.13,4453.91,3400.0,4310.01,18978983.50987317,37826,1755.530265,7173180.19744751,4599.396629,21,8,2017,0,0,27,8,2017,23,59
2017-08-28,4310.01,4939.19,4124.54,4509.08,4753.843376,1504483199999,21581679.92866748,35717,1371.034428,6237542.20612072,0,2017-09-03 23:59:59,2017-08-28,4310.01,4939.19,4124.54,4509.08,21581679.92866748,35717,1371.034428,6237542.20612072,4753.843376,28,8,2017,0,0,3,9,2017,23,59
2017-09-04,4505.0,4788.59,3603.0,4130.37,6382.787745,1505087999999,27307824.36893929,42372,2821.422739,12120979.77068529,0,2017-09-10 23:59:59,2017-09-04,4505.0,4788.59,3603.0,4130.37,27307824.36893929,42372,2821.422739,12120979.77068529,6382.787745,4,9,2017,0,0,10,9,2017,23,59
2017-09-11,4153.62,4394.59,2817.0,3699.99,8106.705127,1505692799999,30026796.42861788,50423,3763.128452,13956149.18844029,0,2017-09-17 23:59:59,2017-09-11,4153.62,4394.59,2817.0,3699.99,30026796.42861788,50423,3763.128452,13956149.18844029,8106.705127,11,9,2017,0,0,17,9,2017,23,59
2017-09-18,3690.0,4123.2,3505.55,3660.02,5908.32335,1506297599999,22501242.65454204,56785,2821.438887,10711864.12380805,0,2017-09-24 23:59:59,2017-09-18,3690.0,4123.2,3505.55,3660.02,22501242.65454204,56785,2821.438887,10711864.12380805,5908.32335,18,9,2017,0,0,24,9,2017,23,59
2017-09-25,3660.02,4406.52,3653.69,4378.48,5782.305424,1506902399999,23750419.76839855,71484,2482.361367,10200163.49185349,0,2017-10-01 23:59:59,2017-09-25,3660.02,4406.52,3653.69,4378.48,23750419.76839855,71484,2482.361367,10200163.49185349,5782.305424,25,9,2017,0,0,1,10,2017,23,59
2017-10-02,4400.0,4658.0,4110.0,4640.0,4708.272956,1507507199999,20366578.25125568,59658,2077.80349,9008752.49455302,0,2017-10-08 23:59:59,2017-10-02,4400.0,4658.0,4110.0,4640.0,20366578.25125568,59658,2077.80349,9008752.49455302,4708.272956,2,10,2017,0,0,8,10,2017,23,59
2017-10-09,4640.0,5922.3,4550.0,5709.99,7913.925837,1508111999999,42038755.95644524,61638,4280.127269,22483871.99105491,0,2017-10-15 23:59:59,2017-10-09,4640.0,5922.3,4550.0,5709.99,42038755.95644524,61638,4280.127269,22483871.99105491,7913.925837,9,10,2017,0,0,15,10,2017,23,59
2017-10-16,5710.0,6171.0,5037.95,5950.02,12157.769447,1508716799999,69446644.86619961,75969,5501.9124,31411073.98003196,0,2017-10-22 23:59:59,2017-10-16,5710.0,6171.0,5037.95,5950.02,69446644.86619961,75969,5501.9124,31411073.98003196,12157.769447,16,10,2017,0,0,22,10,2017,23,59
2017-10-23,5975.0,6189.88,5286.98,6169.98,13133.99457,1509321599999,75229774.73890872,74778,5845.143252,33499318.44481458,0,2017-10-29 23:59:59,2017-10-23,5975.0,6189.88,5286.98,6169.98,75229774.73890872,74778,5845.143252,33499318.44481458,13133.99457,23,10,2017,0,0,29,10,2017,23,59
2017-10-30,6133.01,7590.25,6030.0,7345.01,11663.209648,1509926399999,79517426.5391578,98387,5037.950811,34445720.64501364,0,2017-11-05 23:59:59,2017-10-30,6133.01,7590.25,6030.0,7345.01,79517426.5391578,98387,5037.950811,34445720.64501364,11663.209648,30,10,2017,0,0,5,11,2017,23,59
2017-11-06,7345.1,7770.02,5325.01,5811.03,18916.3199,1510531199999,126612916.75463176,132654,8296.83946,55517892.65634026,0,2017-11-12 23:59:59,2017-11-06,7345.1,7770.02,5325.01,5811.03,126612916.75463176,132654,8296.83946,55517892.65634026,18916.3199,6,11,2017,0,0,12,11,2017,23,59
2017-11-13,5839.94,8123.15,5699.99,8038.0,19791.101011,1511135999999,146293856.48316985,107207,9966.297735,73714925.58366317,0,2017-11-19 23:59:59,2017-11-13,5839.94,8123.15,5699.99,8038.0,146293856.48316985,107207,9966.297735,73714925.58366317,19791.101011,13,11,2017,0,0,19,11,2017,23,59
